author,quote,some
"Albert Einstein,J.K. Rowling,Albert Einstein,Jane Austen,Marilyn Monroe,Albert Einstein,André Gide,Thomas A. Edison,Eleanor Roosevelt,Steve Martin","“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,“It is our choices, Harry, that show what we truly are, far more than our abilities.”,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”,“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”,“Try not to become a man of success. Rather become a man of value.”,“It is better to be hated for what you are than to be loved for what you are not.”,“I have not failed. I've just found 10,000 ways that won't work.”,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,“A day without sunshine is like, you know, night.”",
author,quote,some
<scrapy.loader.processors.Join object at 0x7fe5776b00b8>,<scrapy.loader.processors.Join object at 0x7fe5776b0048>,<scrapy.loader.processors.Join object at 0x7fe5776b0128>
author,quote,some
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,some
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",some
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,some
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",some
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",some
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,some
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,some
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”",some
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,some
Steve Martin,"“A day without sunshine is like, you know, night.”",some
